Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period,Footnotes
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Grassland,Maori farms total,Hectares,219300,At 30 June 2021,
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Grassland,New Zealand total farms,Hectares,7351900,At 30 June 2021,
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Grassland,Maori farms share of NZ total,Percent,3,At 30 June 2021,1 and 2
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Grassland,Average per Maori farm,Hectares,569,At 30 June 2021,1 and 2
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Grassland,Average per NZ farm,Hectares,148,At 30 June 2021,1 and 2
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Horticulture land,Maori farms total,Hectares,3500,At 30 June 2021,
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Horticulture land,New Zealand total farms,Hectares,129200,At 30 June 2021,
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Horticulture land,Maori farms share of NZ total,Percent,2.7,At 30 June 2021,1 and 2
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Horticulture land,Average per Maori farm,Hectares,9,At 30 June 2021,1 and 2
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Horticulture land,Average per NZ farm,Hectares,3,At 30 June 2021,1 and 2
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Plantation,Maori farms total,Hectares,126100,At 30 June 2021,3
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Plantation,New Zealand total farms,Hectares,1633400,At 30 June 2021,3
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Plantation,Maori farms share of NZ total,Percent,7.7,At 30 June 2021,1 and 2 and 3
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Plantation,Average per Maori farm,Hectares,327,At 30 June 2021,1 and 2 and 3
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Plantation,Average per NZ farm,Hectares,33,At 30 June 2021,1 and 2 and 3
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Bush and scrub,Maori farms total,Hectares,85100,At 30 June 2021,
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Bush and scrub,New Zealand total farms,Hectares,1157500,At 30 June 2021,
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Bush and scrub,Maori farms share of NZ total,Percent,7.3,At 30 June 2021,1 and 2
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Bush and scrub,Average per Maori farm,Hectares,221,At 30 June 2021,1 and 2
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Bush and scrub,Average per NZ farm,Hectares,23,At 30 June 2021,1 and 2
Table 14,"Land use, stock units, and supplementary feed",By type of land use,All other land,Maori farms total,Hectares,54900,At 30 June 2021,4
Table 14,"Land use, stock units, and supplementary feed",By type of land use,All other land,New Zealand total farms,Hectares,3044300,At 30 June 2021,4
Table 14,"Land use, stock units, and supplementary feed",By type of land use,All other land,Maori farms share of NZ total,Percent,1.8,At 30 June 2021,1 and 2 and 4
Table 14,"Land use, stock units, and supplementary feed",By type of land use,All other land,Average per Maori farm,Hectares,142,At 30 June 2021,1 and 2 and 4
Table 14,"Land use, stock units, and supplementary feed",By type of land use,All other land,Average per NZ farm,Hectares,61,At 30 June 2021,1 and 2 and 4
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Total land area,Maori farms total,Hectares,488900,At 30 June 2021,5
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Total land area,New Zealand total farms,Hectares,13316400,At 30 June 2021,5
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Total land area,Maori farms share of NZ total,Percent,3.7,At 30 June 2021,1 and 2 and 5
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Total land area,Average per Maori farm,Hectares,1269,At 30 June 2021,1 and 2 and 5
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Total land area,Average per NZ farm,Hectares,267,At 30 June 2021,1 and 2 and 5
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Supplementary feed crops harvested,Maori farms total,Hectares,18300,During year ended 30 June 2021,6
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Supplementary feed crops harvested,New Zealand total farms,Hectares,1270500,During year ended 30 June 2021,6
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Supplementary feed crops harvested,Maori farms share of NZ total,Percent,1.4,During year ended 30 June 2021,1 and 2 and 6
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Supplementary feed crops harvested,Average per Maori farm,Hectares,47,During year ended 30 June 2021,1 and 2 and 6
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Supplementary feed crops harvested,Average per NZ farm,Hectares,26,During year ended 30 June 2021,1 and 2 and 6
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Stock units,Maori farms total,Number,2160600,At 30 June 2021,7
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Stock units,New Zealand total farms,Number,84875300,At 30 June 2021,7
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Stock units,Maori farms share of NZ total,Percent,2.5,At 30 June 2021,1 and 2 and 7
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Stock units,Average per Maori farm,Number,5609,At 30 June 2021,1 and 2 and 7
Table 14,"Land use, stock units, and supplementary feed",By type of land use,Stock units,Average per NZ farm,Number,1705,At 30 June 2021,1 and 2 and 7
Table 15,Selected livestock numbers,By type of animal,Total sheep,Maori farms total,Number,888000,At 30 June 2021,
Table 15,Selected livestock numbers,By type of animal,Total sheep,New Zealand total farms,Number,25732900,At 30 June 2021,
Table 15,Selected livestock numbers,By type of animal,Total sheep,Maori farms share of NZ total,Percent,3.5,At 30 June 2021,1
Table 15,Selected livestock numbers,By type of animal,Total sheep,Average per Maori farm,Number,7087,At 30 June 2021,1 and 2
Table 15,Selected livestock numbers,By type of animal,Total sheep,Average per NZ farm,Number,1528,At 30 June 2021,1 and 2
Table 15,Selected livestock numbers,By type of animal,Total beef cattle,Maori farms total,Number,147800,At 30 June 2021,
Table 15,Selected livestock numbers,By type of animal,Total beef cattle,New Zealand total farms,Number,3964800,At 30 June 2021,
Table 15,Selected livestock numbers,By type of animal,Total beef cattle,Maori farms share of NZ total,Percent,3.7,At 30 June 2021,1
Table 15,Selected livestock numbers,By type of animal,Total beef cattle,Average per Maori farm,Number,1039,At 30 June 2021,1 and 2
Table 15,Selected livestock numbers,By type of animal,Total beef cattle,Average per NZ farm,Number,171,At 30 June 2021,1 and 2
Table 15,Selected livestock numbers,By type of animal,Total dairy cattle,Maori farms total,Number,87900,At 30 June 2021,3
Table 15,Selected livestock numbers,By type of animal,Total dairy cattle,New Zealand total farms,Number,6185400,At 30 June 2021,3
Table 15,Selected livestock numbers,By type of animal,Total dairy cattle,Maori farms share of NZ total,Percent,1.4,At 30 June 2021,1 and 3
Table 15,Selected livestock numbers,By type of animal,Total dairy cattle,Average per Maori farm,Number,947,At 30 June 2021,1 and 2 and 3
Table 15,Selected livestock numbers,By type of animal,Total dairy cattle,Average per NZ farm,Number,478,At 30 June 2021,1 and 2 and 3
Table 15,Selected livestock numbers,By type of animal,Total deer,Maori farms total,Number,2800,At 30 June 2021,
Table 15,Selected livestock numbers,By type of animal,Total deer,New Zealand total farms,Number,814000,At 30 June 2021,
Table 15,Selected livestock numbers,By type of animal,Total deer,Maori farms share of NZ total,Percent,0.3,At 30 June 2021,1
Table 15,Selected livestock numbers,By type of animal,Total deer,Average per Maori farm,Number,329,At 30 June 2021,1 and 2
Table 15,Selected livestock numbers,By type of animal,Total deer,Average per NZ farm,Number,664,At 30 June 2021,1 and 2
Table 15,Selected livestock numbers,By type of animal,Breeding ewes and hoggets,Maori farms total,Number,649200,At 30 June 2021,
Table 15,Selected livestock numbers,By type of animal,Breeding ewes and hoggets,New Zealand total farms,Number,18190100,At 30 June 2021,
Table 15,Selected livestock numbers,By type of animal,Breeding ewes and hoggets,Maori farms share of NZ total,Percent,3.6,At 30 June 2021,1
Table 15,Selected livestock numbers,By type of animal,Breeding ewes and hoggets,Average per Maori farm,Number,5869,At 30 June 2021,1 and 2
Table 15,Selected livestock numbers,By type of animal,Breeding ewes and hoggets,Average per NZ farm,Number,1242,At 30 June 2021,1 and 2
Table 15,Selected livestock numbers,By type of animal,Beef breeding cows and heifers,Maori farms total,Number,57000,At 30 June 2021,
Table 15,Selected livestock numbers,By type of animal,Beef breeding cows and heifers,New Zealand total farms,Number,1067100,At 30 June 2021,
Table 15,Selected livestock numbers,By type of animal,Beef breeding cows and heifers,Maori farms share of NZ total,Percent,5.3,At 30 June 2021,1
Table 15,Selected livestock numbers,By type of animal,Beef breeding cows and heifers,Average per Maori farm,Number,579,At 30 June 2021,1 and 2
Table 15,Selected livestock numbers,By type of animal,Beef breeding cows and heifers,Average per NZ farm,Number,107,At 30 June 2021,1 and 2
Table 15,Selected livestock numbers,By type of animal,Milking cows and heifers,Maori farms total,Number,72100,At 30 June 2021,
Table 15,Selected livestock numbers,By type of animal,Milking cows and heifers,New Zealand total farms,Number,4804600,At 30 June 2021,
Table 15,Selected livestock numbers,By type of animal,Milking cows and heifers,Maori farms share of NZ total,Percent,1.5,At 30 June 2021,1
Table 15,Selected livestock numbers,By type of animal,Milking cows and heifers,Average per Maori farm,Number,901,At 30 June 2021,1 and 2
Table 15,Selected livestock numbers,By type of animal,Milking cows and heifers,Average per NZ farm,Number,440,At 30 June 2021,1 and 2
Table 15,Selected livestock numbers,By type of animal,Total lambs tailed during the year,Maori farms total,Number,818700,During year ended 30 June 2021,
Table 15,Selected livestock numbers,By type of animal,Total lambs tailed during the year,New Zealand total farms,Number,22907400,During year ended 30 June 2021,
Table 15,Selected livestock numbers,By type of animal,Total lambs tailed during the year,Maori farms share of NZ total,Percent,3.6,During year ended 30 June 2021,1
Table 15,Selected livestock numbers,By type of animal,Total lambs tailed during the year,Average per Maori farm,Number,6834,During year ended 30 June 2021,1 and 2
Table 15,Selected livestock numbers,By type of animal,Total lambs tailed during the year,Average per NZ farm,Number,1455,During year ended 30 June 2021,1 and 2
Table 16,Selected farm practices,By farm practice,Tonnes of fertiliser applied,Maori farms total,Number,44400,During year ended 30 June 2022,1 and 3
Table 16,Selected farm practices,By farm practice,Tonnes of fertiliser applied,New Zealand total farms,Number,1924000,During year ended 30 June 2023,1 and 3
Table 16,Selected farm practices,By farm practice,Tonnes of fertiliser applied,Maori farms share of NZ total,Number,2.3,During year ended 30 June 2024,1 and 2 and 3
Table 16,Selected farm practices,By farm practice,Tonnes of fertiliser applied,Average per hectare of grassland on Maori farms,Number,0.2,During year ended 30 June 2025,1 and 2 and 3
Table 16,Selected farm practices,By farm practice,Tonnes of fertiliser applied,Average per hectare of grassland on New Zealand farms,Percent,0.26,During year ended 30 June 2026,1 and 2 and 3
Table 16,Selected farm practices,By farm practice,Tonnes of lime and dolomite applied,Maori farms total,Percent,8500,During year ended 30 June 2027,1
Table 16,Selected farm practices,By farm practice,Tonnes of lime and dolomite applied,New Zealand total farms,Number,979100,During year ended 30 June 2028,1
Table 16,Selected farm practices,By farm practice,Tonnes of lime and dolomite applied,Maori farms share of NZ total,Number,0.9,During year ended 30 June 2029,1 and 2
Table 16,Selected farm practices,By farm practice,Tonnes of lime and dolomite applied,Average per hectare of grassland on Maori farms,Number,0.04,During year ended 30 June 2030,1 and 2
Table 16,Selected farm practices,By farm practice,Tonnes of lime and dolomite applied,Average per hectare of grassland on New Zealand farms,Number,0.13,During year ended 30 June 2031,1 and 2
Table 17,Selected business activities,By activity,Export sales,Maori authorities,Percent,36,2020,1 and 2 and 4 and 5
Table 17,Selected business activities,By activity,Tourism sales,Maori authorities,Percent,29,2020,1 and 2 and 4
Table 17,Selected business activities,By activity,Investment in expansion,Maori authorities,Percent,43,2020,1 and 2 and 4
Table 17,Selected business activities,By activity,Research and development,Maori authorities,Percent,21,2020,1 and 2 and 4
Table 17,Selected business activities,By activity,Export sales,Other Maori enterprises,Percent,24,2020,1 and 2 and 5 and 6
Table 17,Selected business activities,By activity,Tourism sales,Other Maori enterprises,Percent,18,2020,1 and 2 and 6
Table 17,Selected business activities,By activity,Investment in expansion,Other Maori enterprises,Percent,41,2020,1 and 2 and 6
Table 17,Selected business activities,By activity,Research and development,Other Maori enterprises,Percent,11,2020,1 and 2 and 6
Table 17,Selected business activities,By activity,Export sales,All New Zealand businesses,Percent,24,2020,1 and 2 and 5 and 7
Table 17,Selected business activities,By activity,Tourism sales,All New Zealand businesses,Percent,27,2020,1 and 2 and 7
Table 17,Selected business activities,By activity,Investment in expansion,All New Zealand businesses,Percent,31,2020,1 and 2 and 7
Table 17,Selected business activities,By activity,Research and development,All New Zealand businesses,Percent,8,2020,1 and 2 and 7
Table 17,Selected business activities,By activity,Export sales,Maori authorities,Percent,25,2021,1 and 2 and 3 and 4 and 5
Table 17,Selected business activities,By activity,Tourism sales,Maori authorities,Percent,17,2021,1 and 2 and 3 and 4
Table 17,Selected business activities,By activity,Investment in expansion,Maori authorities,Percent,28,2021,1 and 2 and 3 and 4
Table 17,Selected business activities,By activity,Research and development,Maori authorities,Percent,9,2021,1 and 2 and 3 and 4
Table 17,Selected business activities,By activity,Export sales,Other Maori enterprises,Percent,19,2021,1 and 2 and 3 and 5 and 6
Table 17,Selected business activities,By activity,Tourism sales,Other Maori enterprises,Percent,12,2021,1 and 2 and 3 and 6
Table 17,Selected business activities,By activity,Investment in expansion,Other Maori enterprises,Percent,41,2021,1 and 2 and 3 and 6
Table 17,Selected business activities,By activity,Research and development,Other Maori enterprises,Percent,16,2021,1 and 2 and 3 and 6
Table 17,Selected business activities,By activity,Export sales,All New Zealand businesses,Percent,21,2021,1 and 2 and 3 and 5 and 7
Table 17,Selected business activities,By activity,Tourism sales,All New Zealand businesses,Percent,20,2021,1 and 2 and 3 and 7
Table 17,Selected business activities,By activity,Investment in expansion,All New Zealand businesses,Percent,30,2021,1 and 2 and 3 and 7
Table 17,Selected business activities,By activity,Research and development,All New Zealand businesses,Percent,10,2021,1 and 2 and 3 and 7
Table 18,Businesses that innovated,By business type,Goods,Maori authorities,Percent,13,2021,1 and 2 and 3 and 4 and 5
Table 18,Businesses that innovated,By business type,Operational,Maori authorities,Percent,20,2021,1 and 2 and 3 and 4 and 5
Table 18,Businesses that innovated,By business type,Organisational,Maori authorities,Percent,30,2021,1 and 2 and 3 and 4 and 5
Table 18,Businesses that innovated,By business type,Marketing,Maori authorities,Percent,11,2021,1 and 2 and 3 and 4 and 5
Table 18,Businesses that innovated,By business type,Total innovation rate,Maori authorities,Percent,43,2021,1 and 2 and 3 and 4 and 5 and 6
Table 18,Businesses that innovated,By business type,Goods,Other Maori enterprises,Percent,25,2021,1 and 2 and 3 and 4 and 7
Table 18,Businesses that innovated,By business type,Operational,Other Maori enterprises,Percent,31,2021,1 and 2 and 3 and 4 and 7
Table 18,Businesses that innovated,By business type,Organisational,Other Maori enterprises,Percent,37,2021,1 and 2 and 3 and 4 and 7
Table 18,Businesses that innovated,By business type,Marketing,Other Maori enterprises,Percent,22,2021,1 and 2 and 3 and 4 and 7
Table 18,Businesses that innovated,By business type,Total innovation rate,Other Maori enterprises,Percent,58,2021,1 and 2 and 3 and 4 and 6 and 7
Table 18,Businesses that innovated,By business type,Goods,All New Zealand businesses,Percent,18,2021,1 and 2 and 3 and 4 and 8
Table 18,Businesses that innovated,By business type,Operational,All New Zealand businesses,Percent,21,2021,1 and 2 and 3 and 4 and 8
Table 18,Businesses that innovated,By business type,Organisational,All New Zealand businesses,Percent,22,2021,1 and 2 and 3 and 4 and 8
Table 18,Businesses that innovated,By business type,Marketing,All New Zealand businesses,Percent,21,2021,1 and 2 and 3 and 4 and 8
Table 18,Businesses that innovated,By business type,Total innovation rate,All New Zealand businesses,Percent,46,2021,1 and 2 and 3 and 4 and 6 and 8
Table 19,Businesses with product development and related activities expenditure,By business type,Research and development,Maori authorities,Percent,11,2021,1 and 2 and 3
Table 19,Businesses with product development and related activities expenditure,By business type,Design,Maori authorities,Percent,7,2021,1 and 2 and 3
Table 19,Businesses with product development and related activities expenditure,By business type,Marketing,Maori authorities,Percent,9,2021,1 and 2 and 3
Table 19,Businesses with product development and related activities expenditure,By business type,Other,Maori authorities,Percent,11,2021,1 and 2 and 3
Table 19,Businesses with product development and related activities expenditure,By business type,Total product development and related activities,Maori authorities,Percent,22,2021,1 and 2 and 3
Table 19,Businesses with product development and related activities expenditure,By business type,Research and development,Other Maori enterprises,Percent,17,2021,1 and 2 and 4
Table 19,Businesses with product development and related activities expenditure,By business type,Design,Other Maori enterprises,Percent,17,2021,1 and 2 and 4
Table 19,Businesses with product development and related activities expenditure,By business type,Marketing,Other Maori enterprises,Percent,10,2021,1 and 2 and 4
Table 19,Businesses with product development and related activities expenditure,By business type,Other,Other Maori enterprises,Percent,14,2021,1 and 2 and 4
Table 19,Businesses with product development and related activities expenditure,By business type,Total product development and related activities,Other Maori enterprises,Percent,29,2021,1 and 2 and 4
Table 19,Businesses with product development and related activities expenditure,By business type,Research and development,All New Zealand businesses,Percent,10,2021,1 and 2 and 5
Table 19,Businesses with product development and related activities expenditure,By business type,Design,All New Zealand businesses,Percent,14,2021,1 and 2 and 5
Table 19,Businesses with product development and related activities expenditure,By business type,Marketing,All New Zealand businesses,Percent,13,2021,1 and 2 and 5
Table 19,Businesses with product development and related activities expenditure,By business type,Other,All New Zealand businesses,Percent,11,2021,1 and 2 and 5
Table 19,Businesses with product development and related activities expenditure,By business type,Total product development and related activities,All New Zealand businesses,Percent,27,2021,1 and 2 and 5
Table 20,Barriers to innovation,Maori authorities,Cost to develop or introduce,Barrier affected innovation to high degree,Percent,17,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Lack of information,Barrier affected innovation to high degree,Percent,5,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Lack of marketing expertise,Barrier affected innovation to high degree,Percent,3,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Lack of cooperation with other businesses,Barrier affected innovation to high degree,Percent,3,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Access to intellectual property rights,Barrier affected innovation to high degree,Percent,1,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Lack of appropriate personnel,Barrier affected innovation to high degree,Percent,11,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Lack of management resources,Barrier affected innovation to high degree,Percent,15,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Government regulation,Barrier affected innovation to high degree,Percent,6,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Cost to develop or introduce,Barrier affected innovation to medium degree,Percent,17,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Lack of information,Barrier affected innovation to medium degree,Percent,17,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Lack of marketing expertise,Barrier affected innovation to medium degree,Percent,12,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Lack of cooperation with other businesses,Barrier affected innovation to medium degree,Percent,9,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Access to intellectual property rights,Barrier affected innovation to medium degree,Percent,3,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Lack of appropriate personnel,Barrier affected innovation to medium degree,Percent,19,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Lack of management resources,Barrier affected innovation to medium degree,Percent,22,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Government regulation,Barrier affected innovation to medium degree,Percent,11,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Cost to develop or introduce,Barrier affected innovation to low degree,Percent,21,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Lack of information,Barrier affected innovation to low degree,Percent,22,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Lack of marketing expertise,Barrier affected innovation to low degree,Percent,23,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Lack of cooperation with other businesses,Barrier affected innovation to low degree,Percent,19,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Access to intellectual property rights,Barrier affected innovation to low degree,Percent,19,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Lack of appropriate personnel,Barrier affected innovation to low degree,Percent,22,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Lack of management resources,Barrier affected innovation to low degree,Percent,21,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Government regulation,Barrier affected innovation to low degree,Percent,25,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Cost to develop or introduce,Did not hamper innovation,Percent,46,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Lack of information,Did not hamper innovation,Percent,56,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Lack of marketing expertise,Did not hamper innovation,Percent,62,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Lack of cooperation with other businesses,Did not hamper innovation,Percent,69,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Access to intellectual property rights,Did not hamper innovation,Percent,77,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Lack of appropriate personnel,Did not hamper innovation,Percent,48,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Lack of management resources,Did not hamper innovation,Percent,42,2021,1 and 2 and 3
Table 20,Barriers to innovation,Maori authorities,Government regulation,Did not hamper innovation,Percent,58,2021,1 and 2 and 3
Table 20,Barriers to innovation,Other Maori enterprises,Cost to develop or introduce,Barrier affected innovation to high degree,Percent,22,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Lack of information,Barrier affected innovation to high degree,Percent,3,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Lack of marketing expertise,Barrier affected innovation to high degree,Percent,7,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Lack of cooperation with other businesses,Barrier affected innovation to high degree,Percent,3,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Access to intellectual property rights,Barrier affected innovation to high degree,Percent,C,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Lack of appropriate personnel,Barrier affected innovation to high degree,Percent,14,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Lack of management resources,Barrier affected innovation to high degree,Percent,19,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Government regulation,Barrier affected innovation to high degree,Percent,12,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Cost to develop or introduce,Barrier affected innovation to medium degree,Percent,21,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Lack of information,Barrier affected innovation to medium degree,Percent,12,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Lack of marketing expertise,Barrier affected innovation to medium degree,Percent,16,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Lack of cooperation with other businesses,Barrier affected innovation to medium degree,Percent,7,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Access to intellectual property rights,Barrier affected innovation to medium degree,Percent,3,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Lack of appropriate personnel,Barrier affected innovation to medium degree,Percent,24,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Lack of management resources,Barrier affected innovation to medium degree,Percent,26,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Government regulation,Barrier affected innovation to medium degree,Percent,16,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Cost to develop or introduce,Barrier affected innovation to low degree,Percent,19,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Lack of information,Barrier affected innovation to low degree,Percent,24,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Lack of marketing expertise,Barrier affected innovation to low degree,Percent,22,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Lack of cooperation with other businesses,Barrier affected innovation to low degree,Percent,24,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Access to intellectual property rights,Barrier affected innovation to low degree,Percent,19,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Lack of appropriate personnel,Barrier affected innovation to low degree,Percent,21,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Lack of management resources,Barrier affected innovation to low degree,Percent,19,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Government regulation,Barrier affected innovation to low degree,Percent,19,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Cost to develop or introduce,Did not hamper innovation,Percent,36,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Lack of information,Did not hamper innovation,Percent,59,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Lack of marketing expertise,Did not hamper innovation,Percent,59,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Lack of cooperation with other businesses,Did not hamper innovation,Percent,67,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Access to intellectual property rights,Did not hamper innovation,Percent,79,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Lack of appropriate personnel,Did not hamper innovation,Percent,43,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Lack of management resources,Did not hamper innovation,Percent,34,2021,1 and 2 and 4
Table 20,Barriers to innovation,Other Maori enterprises,Government regulation,Did not hamper innovation,Percent,55,2021,1 and 2 and 4
Table 20,Barriers to innovation,All New Zealand businesses,Cost to develop or introduce,Barrier affected innovation to high degree,Percent,20,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Lack of information,Barrier affected innovation to high degree,Percent,4,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Lack of marketing expertise,Barrier affected innovation to high degree,Percent,6,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Lack of cooperation with other businesses,Barrier affected innovation to high degree,Percent,3,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Access to intellectual property rights,Barrier affected innovation to high degree,Percent,2,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Lack of appropriate personnel,Barrier affected innovation to high degree,Percent,14,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Lack of management resources,Barrier affected innovation to high degree,Percent,18,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Government regulation,Barrier affected innovation to high degree,Percent,10,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Cost to develop or introduce,Barrier affected innovation to medium degree,Percent,21,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Lack of information,Barrier affected innovation to medium degree,Percent,12,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Lack of marketing expertise,Barrier affected innovation to medium degree,Percent,13,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Lack of cooperation with other businesses,Barrier affected innovation to medium degree,Percent,7,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Access to intellectual property rights,Barrier affected innovation to medium degree,Percent,5,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Lack of appropriate personnel,Barrier affected innovation to medium degree,Percent,18,2021,1 and 2 and 5
Table 20,Barriers to innovation,All New Zealand businesses,Lack of management resources,Barrier affected innovation to medium degree,Percent,21,2021,1 and 2 and 5
